x,y,Pressure_1,Phase_1,Pressure_2,Phase_2,Pressure_3,Phase_3
-1.141,0.217,145.622,23.719,24.19,-148.985,9.047,49.738
-1.141,0.652,194.039,19.612,28.479,-149.932,10.554,47.826
-1.141,1.087,253.039,15.198,33.54,-150.868,12.234,45.632
-1.141,1.522,321.304,10.483,39.387,-152.025,14.018,43.151
-1.141,1.957,394.954,5.497,45.792,-153.716,15.779,40.383
-1.141,2.391,453.777,-0.875,50.998,-157.126,16.856,36.39
-1.141,2.826,508.441,-6.719,54.808,-160.445,17.606,33.483
-1.141,3.261,531.587,-12.994,54.381,-164.077,17.212,31.118
-1.141,3.696,480.288,-19.028,46.682,-166.847,14.893,29.323
-1.141,4.13,433.375,-26.381,38.27,-169.441,12.486,28.747
-1.141,4.565,361.679,-31.646,29.581,-169.631,10.004,29.513
-1.141,5,213.587,-38.279,16.117,-166.713,5.794,31.554
-1.141,5.435,69.065,-43.251,5.049,-162.436,1.888,33.228
-0.707,0.217,163.267,28.052,25.593,-147.683,9.996,53.989
-0.707,0.652,224.166,23.663,30.474,-148.315,11.861,51.968
-0.707,1.087,301.414,18.889,36.523,-148.645,14.014,49.603
-0.707,1.522,394.73,13.703,44.111,-149.066,16.399,46.897
-0.707,1.957,500.324,8.097,53.376,-150.311,18.888,43.828
-0.707,2.391,607.273,2.114,63.37,-153.004,21.183,40.42
-0.707,2.826,693.784,-4.287,71.14,-157.191,22.646,36.904
-0.707,3.261,733.694,-11.405,72.611,-162.511,22.457,33.588
-0.707,3.696,714.292,-19.037,66.036,-167.995,20.376,30.994
-0.707,4.13,600.938,-28.534,48.598,-172.24,15.77,30.313
-0.707,4.565,443.465,-36.834,31.051,-171.833,10.977,32.353
-0.707,5,304.816,-42.672,19.44,-167.406,7.459,35.432
-0.707,5.435,153.132,-48.217,9.165,-160.906,3.765,38.632
-0.272,0.217,185.196,34.011,26.915,-146.482,11.229,59.175
-0.272,0.652,263.734,29.163,32.195,-146.659,13.584,57.028
-0.272,1.087,367.946,23.882,39.081,-145.759,16.401,54.462
-0.272,1.522,500.405,18.071,48.861,-144.428,19.665,51.525
-0.272,1.957,658.821,11.666,62.958,-144.385,23.306,48.257
-0.272,2.391,828.475,4.646,80.794,-147.317,27.06,44.516
-0.272,2.826,969.482,-3.2,96.527,-153.65,29.865,40.028
-0.272,3.261,1028.737,-12.225,100.079,-162.441,29.761,35.009
-0.272,3.696,983.306,-22.035,86.902,-171.446,25.921,31.121
-0.272,4.13,855.892,-31.352,64.263,-177.451,20.294,30.735
-0.272,4.565,632.102,-40.928,37.642,-176.201,13.943,35.248
-0.272,5,402.901,-49.478,19.495,-167.33,8.707,41.408
-0.272,5.435,173.233,-56.085,8.109,-152.291,3.935,46.582
0.163,0.217,217.098,42.713,27.381,-145.967,12.885,66.18
0.163,0.652,312.277,36.017,32.364,-145.681,15.581,62.977
0.163,1.087,454.098,30.05,38.897,-142.38,19.237,60.112
0.163,1.522,644.524,23.465,50.5,-136.765,23.589,56.902
0.163,1.957,886.371,16.091,72.621,-133.564,28.734,53.864
0.163,2.391,1161.818,7.8,106.973,-137.188,35.047,50.699
0.163,2.826,1395.629,-1.87,140.902,-147.797,41.262,45.125
0.163,3.261,1476.821,-13.359,148.13,-162.69,41.796,36.412
0.163,3.696,1368.18,-25.726,118.754,-177.215,33.739,29.702
0.163,4.13,1133.101,-37.386,74.735,173.716,23.479,30.96
0.163,4.565,851.711,-47.574,38.871,174.743,16.024,39.137
0.163,5,566.361,-55.691,19.262,-167.11,10.954,48.188
0.163,5.435,302.982,-63.359,9.924,-139.373,6.29,55.782
0.598,0.217,223.719,52.52,25.819,-146.857,13.608,73.504
0.598,0.652,350.183,45.805,28.38,-147.738,17.19,71.184
0.598,1.087,536.98,38.84,30.32,-140.365,21.728,67.71
0.598,1.522,804.835,31.23,39.724,-120.504,26.942,63.718
0.598,1.957,1174.612,22.548,75.897,-109.485,32.935,61.935
0.598,2.391,1641.715,12.496,147.359,-117.979,43.718,62.999
0.598,2.826,2052.354,1.262,221.345,-136.16,60.07,56.738
0.598,3.261,2233.834,-11.79,245.985,-157.477,66.448,42.58
0.598,3.696,2130.117,-26.629,204.007,-179.294,54.622,29.427
0.598,4.13,1778.579,-42.433,117.601,159.648,32.723,26.352
0.598,4.565,1054.089,-56.753,28.406,161.986,16.753,48.129
0.598,5,711.984,-66.501,9.915,-139.47,12.442,61.382
0.598,5.435,423.656,-71.7,10.802,-108.667,8.436,66.423
1.033,0.217,263.384,60.78,23.588,-150.558,15.101,81.504
1.033,0.652,428.763,52.666,21.792,-155.856,19.482,79.039
1.033,1.087,684.202,44.41,13.495,-136.349,24.981,74.153
1.033,1.522,1068.354,35.495,32.3,-64.796,29.986,68.034
1.033,1.957,1622.328,25.48,106.272,-72.701,33.051,70.871
1.033,2.391,2355.644,14.028,239.703,-97.926,53.063,86.088
1.033,2.826,3001.243,0.737,373.324,-127.569,95.598,72.717
1.033,3.261,3216.166,-14.847,396.444,-157.063,107.238,48.141
1.033,3.696,2950.974,-33.013,300.626,172.039,80.713,25.417
1.033,4.13,2367.795,-45.412,172.013,148.183,41.376,16.349
1.033,4.565,1676.734,-62.536,44.407,112.871,19.39,51.634
1.033,5,1106.711,-75.489,14.568,-24.557,17.149,74.912
1.033,5.435,513.388,-86.027,20.71,-68.121,10.826,81.839
1.467,0.217,317.272,66.85,18.696,-158.943,16.633,91.122
1.467,0.652,528.921,57.944,9.969,158.213,21.621,90.374
1.467,1.087,914.072,46.413,27.148,25.603,27.522,82.271
1.467,1.522,1531.846,34.082,102.698,-14.45,25.387,70.959
1.467,1.957,2437.135,20.958,248.865,-50.299,21.954,141.279
1.467,2.391,3747.699,5.918,497.824,-92.476,124.862,131.842
1.467,2.826,4669.929,-3.948,680.098,-116.34,187.128,109.365
1.467,3.261,5478.042,-24.302,784.241,-162.019,267.639,62.994
1.467,3.696,4710.722,-44.945,463.418,149.566,143.567,17.624
1.467,4.13,3031.255,-62.497,169.836,102.808,26.125,13.249
1.467,4.565,1942.423,-80.262,63.169,16.101,23.373,87.248
1.467,5,1226.663,-93.429,60.763,-36.318,22.725,92.968
1.467,5.435,682.48,-99.599,41.605,-55.68,15.562,93.551
1.902,0.217,339.819,71.376,12.06,-168.077,17.38,101.257
1.902,0.652,623.948,56.705,13.69,71.519,23.133,98.485
1.902,1.087,1135.799,41.2,65.585,15.074,26.654,88.679
1.902,1.522,1707.953,31.53,140.009,-8.495,20.779,81.786
1.902,1.957,2922.864,14.911,327.474,-46.408,34.629,-175.304
1.902,2.391,4772.196,-3.956,626.447,-93.969,172.338,151.671
1.902,2.826,7202.354,-25.986,955.229,-154.089,326.908,99.157
1.902,3.261,8252.461,-51.633,878.655,132.954,236.556,56.344
1.902,3.696,5862.571,-75.08,339.852,64.842,91.389,36.406
1.902,4.13,4501.02,-80.181,290.071,49.549,31.798,52.479
1.902,4.565,2948.662,-103.544,250.867,-17.915,50.801,107.511
1.902,5,1332.907,-113.339,109.746,-47.908,29.908,102.281
1.902,5.435,714.121,-117.329,62.028,-57.798,18.891,102.446
2.337,0.217,365.716,70.441,4.721,171.364,18.469,109.799
2.337,0.652,695.164,52.161,27.37,39.702,24.056,107.344
2.337,1.087,1331.838,32.615,99.223,4.236,24.054,101.573
2.337,1.522,2147.535,18.203,197.589,-25.711,16.616,144.288
2.337,1.957,3886.445,-4.641,387.066,-72.923,84.321,175.939
2.337,2.391,6766.721,-30.873,636.377,-142.053,209.936,136.953
2.337,2.826,11629.95,-60.687,1261.74,125.234,223.504,99.711
2.337,3.261,13700.54,-83.317,1664.023,65.782,89.26,109.505
2.337,3.696,8118.063,-99.875,883.144,9.51,137.075,104.139
2.337,4.13,5872.383,-116.174,758.568,-19.376,128.831,112.217
2.337,4.565,3553.04,-121.078,379.741,-36.594,72.4,107.008
2.337,5,1792.438,-129.929,184.861,-52.633,42.707,107.394
2.337,5.435,846.834,-136.2,87.742,-61.905,24.535,109.137
2.772,0.217,346.754,68.817,2.306,11.326,19.082,117.26
2.772,0.652,690.858,45.748,35.138,24.112,24.33,116.012
2.772,1.087,1372.829,21.917,107.058,-5.428,23.774,119.962
2.772,1.522,2338.884,2.987,185.42,-39.486,32.1,160.696
2.772,1.957,4278.756,-24.232,259.54,-87.368,86.302,166.538
2.772,2.391,7997.071,-56.01,351.788,167.72,174.009,140.947
2.772,2.826,12783.52,-84.458,737.714,89.491,143.603,111.653
2.772,3.261,16370.76,-109.948,1352.725,16.846,138.817,163.357
2.772,3.696,10624.81,-128.488,995.795,-7.153,200.533,137.622
2.772,4.13,7610.763,-132.377,904.083,-33.679,169.754,120.806
2.772,4.565,3434.69,-146.889,400.847,-58.32,78.3,109.363
2.772,5,2028.132,-151.814,220.672,-64.505,50.657,112.783
2.772,5.435,1058.489,-151,115.023,-64.897,31.339,113.766
