x,y,Pressure_1,Phase_1,Pressure_2,Phase_2,Pressure_3,Phase_3
3.207,0.217,291.389,64.467,10.19,-14.063,20.102,125.094
3.207,0.652,591.616,38.501,35.224,11.038,24.734,125.003
3.207,1.087,1202.287,9.711,90.968,-8.973,28.059,132.918
3.207,1.522,1788.334,-14.198,126.334,-21.703,36.48,146.149
3.207,1.957,3285.756,-45.662,173.975,-49.818,66.924,160.926
3.207,2.391,5534.207,-72.423,89.551,-59.506,113.061,148.464
3.207,2.826,11162.82,-108.83,174.041,4.306,108.856,141.643
3.207,3.261,13588.86,-135.591,298.992,-14.244,177.484,173.211
3.207,3.696,9499.583,-149.831,572.127,-38.486,204.433,141.4
3.207,4.13,5912.604,-159.679,410.41,-51.265,139.646,134.436
3.207,4.565,3168.261,-165.217,302.437,-65.167,78.254,120.748
3.207,5,1727.323,-165.546,177.12,-67.503,48.809,118.994
3.207,5.435,1068.578,-164.139,114.581,-66.472,34.401,118.437
3.641,0.217,175.546,64.775,16.338,-29.05,20.104,130.671
3.641,0.652,329.392,28.675,30.184,-9.25,24.756,133.738
3.641,1.087,641.115,-3.994,57.589,-9.616,30.881,138.651
3.641,1.522,1163.898,-35.544,91.313,-17.933,40.422,145.703
3.641,1.957,2142.678,-60.045,132.596,-30.962,57.093,152.819
3.641,2.391,3762.079,-101.3,145.456,-33.882,86.932,151.285
3.641,2.826,6092.763,-139.079,80.644,7.479,112,154.053
3.641,3.261,10464.63,-157.15,276.69,59.369,150.308,153.06
3.641,3.696,6094.057,-164.366,305.333,-35,141.904,140.478
3.641,4.13,4119.614,-170.013,312.482,-53.486,109.184,131.676
3.641,4.565,2708.749,-172.645,243.454,-62.276,76.216,126.081
3.641,5,1599.081,-176.093,155.534,-64.93,51.619,124.65
3.641,5.435,882.432,-172.027,95.84,-65.411,31.966,121.362
4.076,0.217,61.819,89.067,20.112,-36.671,19.293,133.653
4.076,0.652,127.704,14.392,29.735,-22.514,24.083,137.256
4.076,1.087,311.029,-25.864,47.015,-17.338,30.169,141.086
4.076,1.522,615.437,-57.435,70.105,-18.961,38.301,144.988
4.076,1.957,1203.297,-75.306,101.318,-23.335,49.677,148.624
4.076,2.391,2067.32,-112.794,126.148,-27.948,68.052,150.709
4.076,2.826,3249.708,-149.86,145.394,-20.898,90.683,153.623
4.076,3.261,4678.666,179.294,246.82,-14.47,116.994,156.828
4.076,3.696,3706.15,-174.214,235.969,-40.579,105.885,140.862
4.076,4.13,2586.313,-177.437,202.47,-52.566,82.072,134.743
4.076,4.565,1997.33,-179.268,171.945,-56.46,68.059,132.256
4.076,5,1515.836,-179.411,145.565,-62.283,52.863,127.519
4.076,5.435,846.802,-179.28,91.817,-63.076,33.921,125.054
4.511,0.217,53.434,-178.005,22.295,-38.224,18.65,135.652
4.511,0.652,39.677,-97.347,29.877,-29.423,22.979,138.961
4.511,1.087,157.793,-76.509,41.666,-24.227,28.397,142.08
4.511,1.522,362.816,-91.96,57.277,-23.05,35.217,144.872
4.511,1.957,675.378,-114.27,74.836,-24.294,43.733,147.147
4.511,2.391,1165.962,-128.211,99.435,-25.254,56.467,149.352
4.511,2.826,1757.251,-159.302,121.149,-23.582,72.823,152.043
4.511,3.261,1917.721,159.427,130.908,-22.993,88.276,155.138
4.511,3.696,1898.202,175.375,137.185,-38.744,75.548,145.35
4.511,4.13,1686.296,179.332,141.427,-50.854,65.22,136.949
4.511,4.565,1338.996,178.133,124.081,-54.813,54.536,133.814
4.511,5,1106.372,177.357,110.8,-58.594,45.685,130.451
4.511,5.435,723.802,176.98,80.629,-60.248,32.691,128.016
