x,y,Pressure_1,Phase_1,Pressure_2,Phase_2,Pressure_3,Phase_3
2.815,0.322,144.065,12.615,25.473,-111.583,19.292,99.629
2.815,0.965,279.612,15.599,27.064,-106.019,23.967,100.06
2.815,1.609,526.387,11.734,31.631,-86.464,29.904,100.404
2.815,2.252,802.814,6.782,46.582,-74.256,35.107,100.375
2.815,2.896,1364.611,-3.839,92.007,-73.511,44.678,104.548
2.815,3.539,2177.344,-17.87,158.911,-93.139,66.963,107.912
2.815,4.183,3149.669,-34.731,195.239,-122.885,101.675,99.62
2.815,4.826,3566.26,-54.79,104.922,-155.652,105.218,84.788
2.815,5.47,2781.768,-74.011,40.615,-48.057,67.944,82.46
2.815,6.113,2187.145,-79.746,56.363,-42.713,51.804,86.185
2.815,6.757,1511.406,-97.417,97.001,-49.042,41.986,97.995
2.815,7.4,766.716,-104.998,65.624,-62.987,26.961,99.95
2.815,8.043,490.585,-109.113,48.254,-66.809,19.7,101.095
3.459,0.322,131.347,11.699,24.319,-101.43,20.766,105.954
3.459,0.965,279.23,13.963,25.418,-89.656,25.873,107.427
3.459,1.609,566.202,7.63,34.985,-63.493,32.318,109.172
3.459,2.252,927.204,-0.155,59.38,-56.141,38.055,111.429
3.459,2.896,1653.747,-15.334,112.757,-65.006,51.516,120.086
3.459,3.539,2785.443,-34.851,155.98,-91.47,85.052,122.602
3.459,4.183,4495.214,-57.468,88.484,-140.463,130.113,112.19
3.459,4.826,5238.677,-75.826,103.146,36.523,130.145,106.367
3.459,5.47,3468.021,-91.837,177.193,-22.92,88.844,100.333
3.459,6.113,2615.887,-105.773,197.219,-34.963,70.228,105.585
3.459,6.757,1757.892,-110.554,147.423,-48.765,52.204,104.616
3.459,7.4,973.291,-117.97,97.444,-58.761,35.528,106.348
3.459,8.043,504.313,-122.466,58.279,-64.453,22.304,106.932
4.102,0.322,107.827,4.925,23.957,-90.111,21.822,111.546
4.102,0.965,259.896,8.384,26.298,-74.593,27.163,113.558
4.102,1.609,562.328,-0.061,41.167,-51.365,33.934,116.549
4.102,2.252,973.886,-10.51,69.125,-49.554,40.937,121.055
4.102,2.896,1782.531,-29.258,112.951,-59.591,57.767,129.504
4.102,3.539,3253.55,-53.513,114.564,-80.989,95.988,130.407
4.102,4.183,5204.762,-76.115,45.034,-6.286,132.861,125.856
4.102,4.826,6630.173,-96.882,310.201,10.54,143.643,124.768
4.102,5.47,4591.437,-116.255,331.888,-25.476,124.552,121.111
4.102,6.113,3339.818,-118.767,296.391,-36.639,92.768,114.089
4.102,6.757,1682.082,-131.97,180.929,-54.796,57.865,112.851
4.102,7.4,1069.041,-135.807,123.816,-59.891,42.511,112.96
4.102,8.043,604.374,-134.66,75.489,-62.65,27.866,111.829
4.746,0.322,84.973,-15.267,25.36,-76.65,23.379,117.49
4.746,0.965,218.135,-2.901,29.042,-63.875,28.169,119.039
4.746,1.609,505.078,-12.123,46.056,-45.909,35.529,122.984
4.746,2.252,820.431,-27.24,67.712,-42.817,43.224,127.628
4.746,2.896,1566.861,-49.055,107.81,-46.484,60.221,134.486
4.746,3.539,2619.073,-68.303,120.106,-52.421,84.767,136.945
4.746,4.183,5390.723,-96.293,155.434,-16.163,130.527,135.603
4.746,4.826,6729.921,-119.875,346.56,-15.914,153.27,136.703
4.746,5.47,4685.844,-133.372,378.908,-37.282,129.557,128.216
4.746,6.113,3038.631,-143.203,283.608,-47.852,98.533,125.703
4.746,6.757,1643.052,-148.12,184.438,-58.076,62.353,119.346
4.746,7.4,941.774,-147.832,117.201,-61.025,42.281,117.288
4.746,8.043,613.538,-146.025,81.698,-62.176,30.805,116.056
5.389,0.322,71.754,-48.616,26.733,-69.107,23.806,121.072
5.389,0.965,146.31,-35.31,32.695,-57.126,28.645,124.589
5.389,1.609,320.383,-36.32,45.248,-45.928,35.328,128.067
5.389,2.252,628.67,-49.794,66.771,-40.662,44.381,132.144
5.389,2.896,1167.878,-64.283,98.574,-40.547,58.125,135.865
5.389,3.539,2193.448,-95.289,139.43,-39.633,85.437,139.807
5.389,4.183,3917.081,-122.615,190.685,-33.489,118.081,143.273
5.389,4.826,6688.283,-136.078,273.053,-28.776,164.454,144.809
5.389,5.47,3513.742,-146.921,281.678,-44.569,114.466,132.418
5.389,6.113,2316.513,-153.21,232.043,-52.808,87.055,126.997
5.389,6.757,1501.902,-155.472,171.597,-57.447,63.535,123.362
5.389,7.4,924.365,-157.812,118.061,-59.845,46.098,122.023
5.389,8.043,525.39,-152.973,74.261,-61.657,29.343,118.73
6.033,0.322,91.543,-93.35,27.92,-62.306,23.568,124.706
6.033,0.965,131.451,-74.466,34.471,-54.093,28.494,127.597
6.033,1.609,239.434,-67.407,45.332,-46.064,34.803,130.717
6.033,2.252,436.882,-75.072,62.17,-40.745,43.069,133.958
6.033,2.896,780.005,-81.594,86.03,-38.53,54.003,136.468
6.033,3.539,1384.893,-107.64,121.703,-37.322,73.559,139.879
6.033,4.183,2340.946,-135.215,173.036,-34.179,104.177,143.37
6.033,4.826,3632.756,-157.929,244.756,-32.117,142.633,146.059
6.033,5.47,2425.975,-156.828,216.935,-46.755,99.458,134.622
