x,y,Pressure_1,Phase_1,Pressure_2,Phase_2,Pressure_3,Phase_3
2.876,10.652, 196.822,-66.994,18.750,-18.596,33.220,151.593
3.728,0.426, 85.799,-49.213,24.862,-11.969,47.598,158.789
3.728,1.278, 83.339,-42.811,29.670,-13.977,57.230,157.397
3.728,2.130, 83.871,-15.103,35.312,-15.432,69.515,156.117
3.728,2.983, 129.333,12.657,40.896,-16.703,80.942,155.068
3.728,3.835, 293.632,23.631,51.238,-14.832,99.539,153.765
3.728,4.687, 600.988,15.774,71.281,-14.964,122.713,152.290
3.728,5.539, 1014.729,-0.262,95.083,-21.419,148.045,150.728
3.728,6.391, 1268.461,-22.205,89.917,-29.213,157.524,148.347
3.728,7.243, 1069.652,-43.971,61.482,-24.703,130.864,146.270
3.728,8.096, 866.984,-50.745,50.477,-21.736,108.001,146.501
3.728,8.948, 630.326,-68.561,42.905,-4.855,81.210,148.691
3.728,9.800, 342.373,-75.832,29.895,-4.295,51.600,151.342
3.728,10.652, 229.557,-79.412,22.534,-2.810,37.159,152.949
4.580,0.426, 94.762,-61.611,25.906,-1.180,49.801,159.890
4.580,1.278, 90.713,-60.662,30.468,-1.312,59.651,158.640
4.580,2.130, 77.030,-36.096,35.561,-0.200,72.277,157.481
4.580,2.983, 122.320,4.710,40.671,0.953,84.492,156.444
4.580,3.835, 326.603,13.355,52.653,7.892,103.943,155.419
4.580,4.687, 742.554,-0.615,76.678,8.559,129.364,154.386
4.580,5.539, 1437.965,-22.319,98.407,2.318,163.821,153.370
4.580,6.391, 1821.903,-42.219,89.250,8.417,177.656,151.454
4.580,7.243, 1322.008,-61.470,73.111,8.510,139.680,148.126
4.580,8.096, 1044.608,-75.761,66.671,15.718,110.634,149.063
4.580,8.948, 731.210,-80.725,53.972,10.280,87.217,150.017
4.580,9.800, 431.069,-87.214,39.465,9.889,59.746,152.548
4.580,10.652, 240.238,-90.434,25.892,9.208,37.867,154.799
5.433,0.426, 105.855,-70.800,27.244,9.515,50.667,161.217
5.433,1.278, 104.980,-72.822,31.777,10.659,60.175,159.957
5.433,2.130, 89.459,-56.423,37.044,14.545,72.150,158.924
5.433,2.983, 126.055,-15.720,43.179,19.059,84.166,158.028
5.433,3.835, 342.586,-6.018,58.394,28.085,102.160,157.353
5.433,4.687, 880.892,-21.716,85.625,29.216,128.613,156.678
5.433,5.539, 1659.868,-42.341,105.889,33.226,156.961,157.037
